버래기	넘치도록
노름쟁인 망호여도 흥호진 못혼다.	노름 쟁이는 망하여도 흥하지는 못한다.
노리 또린 막땡이 3년 우려 먹나	노루 때린 막대기 3년을 울겨 먹는다.
노리궤기 혼점 먹젠 호당 지 궤기 열 점 일른다.노루고기 한 점 얻어 먹으려다가 자기의 고기 열점을 잃은다.	
놈 곱진 것 쉐도 못 찾나	남이 숨긴건 소도 못 찾는다.
놈광 심백은 호곡, 게심이랑 허지 말라.	 남과 경쟁은 하되 시기는 하지 마라.
놈 싼 훼에 깅이잡기.	남이 켠 횃불에 게 잡는다.
놈이 눈에 피 내우젠 허민 이녁 눈엔 고름 나사 혼다.	남의 눈에 피 흘리게 하면, 자기 눈에는 고름이 나와야 한다.
놈이 쉐 들럭키는 건 보기 좋나.	남의 소 날뛰는 건 보기 좋다.
놈이 숭 털민 이녁 숭 된다.	남의 흉내 내면 자기 흉 된다.
놈이 집광 관장살인 궤던 밥도 내부러동 돋나.	남의 집과 벼슬 살이는 끓는 밥도 두고 간다.
놋 시칠 때에 물 하영 쓰민 죽엉 가민 다 먹어사 혼다.	세수 할 때에 물을 많이 사용하면 죽어서 가면 다 마셔야 한다.
눈 까진 똘 고졍 사윌 고른다.	애꾸눈 딸 가지고 사위를 고른다.
눈 낭에 요름 요는냐?	누운 나무에 열매 열리는가?
눈 썹에 불 붙어도 끌 조를이 읏나.	눈썹에 불이 붙어도 끌 겨를이 없다.
늘근 쉐 콩 주엉 말덴 호느냐?	늙은 소 콩을 주면 안 받겠다고 하느냐?
늑신네가 젊은 첩 호민 불 본 나비 놉뜨듯 혼다.	늙은 놈이 젊은 첩 하면 불 본 나비 날뛰듯 한다.
니 아픈 부릅씨랑 허곡, 눈 아픈 부릅씨랑 말라.	이 아픈 심부름은 하고, 눈 아픈 심부름은 하지 마라.
다심 아덜은 콩 죽 멕이곡, 원 아덜은 폿 죽 멕인다.	의붓 아들은 콩죽 먹이고, 친 아들은 팥죽 먹인다.
다심아방 궤기 써는 디랑 가고, 원아방 낭깨는 디랑 얼씬을 말라.	의붓아버지 고기 써는데는 가고, 친아버지 장작 패는데는 가지를 말라.
대천 바당도 건너 봐사 안다.	넓은 바다도 건너 봐야 안다.
대정 몽생이 요망진다.	대정 망아지 야무지고 알차다 = 대정은 서귀포시 대정읍 지명임.
덴디 꺼럭 아니 돗나	 덴 곳에 털 안난다.
도 터질 밭디 모쉬 들듯.	들목 터진 밭에 마소 들듯
도둑놈광 샛뭇은 묶엉 세와노민 똑 닮나.	도둑놈과 띠 다발은 묶어서 세워 놓으면 꼭 닮다.
고맙습니다	고맙쑤다
가십시오	갑써양
제가 당신을 무척 사랑합니다	나 이녁 소못 소랑헴수다
남편 옆에 같이 앉으세요	서방 조끝에 고치 앉즙써
사람 있습니까	사름 잇수과
잘 있었습니까	잘 이십디강?
아버지 어머니 모두 편안하셨습니까	아방 어멍 다 펜안햇수과
머리 조심하세요	데멩이 맹심헙써
어디갔다가 오십니까	어디 갓당 왐쑤과
자기 것은 작게 보인다	지 것은 족아 벤다
누구십니까	누게꽈
제 얼굴이 예쁘지요	나 상우댕이 고우꽝
별로 이쁘지 않네요	고우멍 말멍 허우다
오천원입니다	오천원마씀
큰일 났습니다	큰일 낫수다
어떻게 생겼던가	어떵 생겨서
어디로 모실까요	어디가코 마시
똑똑하고 영리하게 생겼습니다	요망지게 생겨십디다
제주특별자치도에서 삽시다	제주특별자치도에서 살게 마씀
따스합니까	맨드롱햇수과
왜 그러십니까	무사 마씀
오시느라 고생 많으셨습니다	오젠허난 폭삭 속아수다
빨리빨리 더빨리 오세요	재기재기 보질보질 혼저옵서
참말로 이쁘고 둥실둥실합니다	촘말로 곱고 몬트락허우다
이곳은 바람도 많이 불고있네	이딘 보름도 하영 불엄져
소문나면 저는 모른다	소민나민 난 몰라
이곳에 있으니 엄마 보고싶다	이디 와부난 어멍 보지그립다
지쳐서 잠이 온다	지천 자지 그립다
햇볕은 쨍쨍 모래알은 반짝반짝	뱃은 과랑과랑 모살은 삔찍삔찍
아무리 이야기하여도 귀 눈이 캄캄	아무거앤 고라도 귀 눈이 왁왁
그러기에 말입니다	게메 마씀
나를 보십시오	날 봅서
잘되어 버렸다	제나콰니여
어마어떻게 하지	으마떵호리
제주도 사투리로 말 호난	제주도 사투리로 말 하니까.
무신거랜 고람 신지 몰르쿠게	뭐라고 말하는지 모르겠지요
게메 마씀	글세 말입니다
귀 눈이 왁왁하우다	귀와 눈이 캄캄합니다
경해도 고만히 생각호멍 들으민 호끔씩 알아집니다.	그래도 가만히 생각하며 들으면 조금씩 알 게 됩니다
오랜만이우다	오랜만이예요
몸은 펜안 하우꽈	편안하십니까
얼굴이 펜안해 보염수다	얼굴이 좋아보이네요
혼저옵서예	어서오세요
제주도 오잰하난 폭삭 속아수다	제주도 오느라 수고하셨어요
제주도 오난 촘말로 좋수다	제주도에 오니까 정말로 좋습니다
산이영 바당이영 몬딱 좋은게 마씀	산이랑 바다랑 모두가 좋습니다
많이많이봥으네 서울에 갈 때랑 하영 담앙 갑서	많이 보고, 서울에 갈 때는 많이 담아서 가십시오
게메 양	그러게 말입니다
경 해시민 얼마나 좋코 마씀	그렇게 했으면 얼마나 좋겠습니까
안트레 들어 왕, 밥 먹엉 갑서	안으로 들어 오셔서, 식사 하고 가십시오
제주도 와시난 전복죽드셔봥 가살꺼 아니꽝	제주도 오셨으니, 전복죽드셔보고 가셔야죠
혼저 왕 드셩갑서	어서 와서 드세요
맨도롱 했수과	따뜻합니까
뜻뜻혼 게 먹기 똑 좋았수다	따끈따끈한 것이 먹기에 꼭 좋았습니다
맛있수다	맛 좋네요
여기예	여기요
이거 키로에 얼마마씨?	이거 1kg에 얼마예요?
사천원마씨	사천원입니다
기꽝?	그래요?
사천원치 줍서	사천원어치주세요
하영줍서예	많이주세요
많이 담암수다양	많이 드립니다
맛있게 드십써 양	맛있게 드세요
삼성혈가잰하는디예	삼성혈에 가려는데요
어디로 가면 되마씨?	어디로 가면 되지요?
여기서 10분만 밑트레강 칼호텔조끄티서 바로 왼펜돌아가민 되우다	여기서 10분 밑으로가서 칼호텔 근처에서 돌아서 왼쪽으로 가면 됩니다.
알아지쿠가?	알겠어요?
거기강 봥으네, 아무사람이나 잡앙 물어보민 잘 말해 줄꺼우다	거기가서 아무사람이나 물어보면 잘 말해 줄꺼예요
관광 잘행 갑써예	관광 잘하고 가세요
혼저옵서예	어서오십시요
고만이십서게	잠깐 있으십시오
고만 이시라게	잠깐있어라
무신거 햄쑤꽈?	무엇을 하십니까?
무신거 햄시니?	무엇을 하느냐?
무사 경 급호꽈?	왜 그렇게 급하십니까?
무사 경 급호냐?	왜 그렇게 급하냐?
확 옵서게	빨리 오십시오
어떵 살아 점수꽈?	어떻게 살고 있습니까?
무싱거엔 고람쑤꽈?	무엇이라고 말하십니까?
귀 눈이 왁왁하우다.	귀와 눈이 캄캄합니다
맨도롱 혼때 호로록 들여 싸 붑써	따뜻할 때 후루룩 잡수십시오
무싱 걸 몽캐미꽈?	뭘 그리 늦장 부리십니까?
왕 봅서, 고랑은 몰라 마씀	와서 보십시오,말로 해서는 모릅니다
곱들락 호게 몬뜰락 벗엉 옵서	아름답게 모조리 벗어서 오십시오
어디 갔당 왐수꽈?	어디 갔다가 오십니까?
어드레 감수꽈?	어디로 가십니까?
둥그리멍 키웁서, 경 해사 혼저 큽니다.	고생시키면서 키웁십시오.그래야 빨리 자랍니다
어떵 살코, 저들지 맙서, 촘앙 살민 살아집니다	어떻게 살까,걱정 마십시오.참고 살면 살수 있습니다
느영 나영 두리둥실 소랑호게 마씸	너하고 나하고 둘이 둥실 사랑합시다
혼저 옵서	어서 오십시오
제주도에 오난 어떵 하우꽈?	제주도에 오니 어떠하십니까?
촘말로 좋수다	정말로 좋습니다
왕 봅서	와서 보십시오
고랑은 몰라마씀	말로해서는 모릅니다
무상 경 고람수꽈?	왜 그렇게 말하십니까?
몽캐지 말앙 혼저 오라게	꾸물대지 말고 어서 오너라
호꼼만 이십서게	조금만 계십시오
혼저 왕 먹읍서	어서 와서 먹으십시오
맨드롱 했수꽈?	따뜻합니까?
맨도롱 홀 때 호로록 들여 싸붑서	따뜻한 때 후루룩 마셔 버리십시오
혼저 옵서.	어서 오십시오.
제주도 사투리로 말 호난, 무신 거옌 고람 신디 몰르쿠게?	제주도 사투리로 말 하니까, 뭐라고 말하는 지 모르겠지요?
게메 마씀.	글쎄 말입니다.
귀 눈이 왁왁하우다.	귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 조금씩 알아집니다.	그래도 가만히 생각하며 들으면 조금씩 알게됩니다.
제주도 사투리 촘말로 귀하고 아름다운 보물이우다.	제주도 사투리 정말로 귀하고 아름다운 보물입니다.
펜안 하우꽈?	안녕하십니까?
제주도에 오난 어떵 하우꽈?	제주도에 오니 어떠하십니까?
촘말로 좋수다.	정말로 좋습니다.
공기도 맑고, 산이영 바당이영 몬딱 좋은게 마씀.	공기도 맑고, 산이랑 바다랑 모두가 좋습니다.
서울에 갈 때랑 하영 담앙 갑서.	서울에 갈 때는 많이 담아서 가십시오.
게메, 양.	그러게 말입니다.
경 해시민 얼마나 좋코 마씀?	그렇게 했으면 얼마나 좋겠습니까?
저기, 물허벅 정 가는 거, 비바리덜 아니꽈?	저기, 바구니 지고 가는 거, 처녀들 아닙니까?
맞수다.	맞습니다.
비바리도 있고, 넹바리도 있수다.	처녀도 있고, 시집 간 여자도 있습니다.
비바리덜 곱들락 호고 놀씬하우다 양!	처녀들 곱고 날씬하군요!
경 합주게, 산 좋고 물 좋은 제주도에 사난 모심도 착하고 얼굴도 곱들락 홉니다.	그렇지요, 산 좋고 물 좋은 제주도에 사니 마음도 착하고 얼굴도 곱습니다. 
고랑은 몰라 마씀.	말로 해서는 모릅니다.
제주도에 왕 봐사 알아짐니다.	제주도에 와서 보아야 알 수 있습니다.
돌도 많고, 보롬도 많고, 비바리도 많고, 유채꽃도 곱드락 호게 피었수다.	돌도 많고, 바람도 많고, 처녀도 많고, 유채꽃도 아름답게 피었습니다.
아명 고라도 몰라 마씀.	아무리 말해도 모릅니다.
혼저 왕 봅서.	어서 와서 보십시오.
제주도엔 보름이 많이 있수다.	제주도에는 바람이 많이 있습니다.
동쪽에서 부는 보름, 샛보름.	동쪽에서 부는 바람, 샛바람.
서쪽에서 부는 보름, 갈보름.	서쪽에서 부는 바람, 갈바람.
남쪽에서 부는 보름, 마포름.	남쪽에서 부는 바람, 마파람.
북쪽에서 부는 보름, 하늬보름 이우다.	북쪽에서 부는 바람, 하늬바람 입니다.
한락산에 올랑 봅서.	한라산에 올라서 보십시오.
발 아래 구름들이 왔닥갔닥 호곡 아득혼게 꿈속 고틉니다.	발 아래 구름들이 오락가락 하고 아듣하니 꿈속 같습니다.
옛날에 신선들이 힌 사슴 타멍 놀았댄 해연 백록담 아니꽈.	옛날에 신선들이 흰 사슴을 타며 놀았다고 해서 백록담 아닙니까.
제주 사롬들은 돌 하르방 보멍 살았수다.	제주 사람들은 돌 하르방 보면서 살았습니다.
경 호난, 거짓말 홀 줄 모르곡 서로 믿으멍 착하게만 살았수게.	그러니까, 거짓말 할 줄 모르고 서로 믿으면서 착하게만 살았습니다.
봅서, 어시민 도와 주곡, 이시민 나누엉 먹곡, 인정 많고, 소랑 많은 돌하르방 손지들 이우다.	보십시오, 없으면 도와 주고, 있으면 나누어서 먹으면서, 인정 많고, 사랑이 많은 돌하르방 손자들 입니다.
장게간 날 밤, 새 서방이 말했수게.	장가간 날 밤, 새 신랑이 말했습니다.
`새 각시야, 혼저 오라게.`	`색씨야, 어서 오너라.`
`무사 마씀?`	`왜 그러십니까?`
`호꼼만 이십서게.`	`조금만 계십시오.`
`뭉캐지 말앙 혼저 오라게.`	`꾸물대지 말고 어서 오너라.`
새 각시가 새 서방 품에서 솔째기 말해십주.	신부가 신랑 품에서 살그머니 말했답니다.
`날 얼마나 소랑햄쑤과?`	`나를 얼마나 사랑하십니까?`
`저기 한락산만큼, 또 바당만큼 소랑햄쩌.`	`저기 한라산만큼, 또 바다만큼 사랑한다.`
`경 마랑, 요 가슴패기 만큼만 소랑해 줍서.`	`그러지 말고 이 가슴팍 만큼만 사랑해 주십시오.`
`기여, 느영 나영 두리 둥실 소랑호게.`	`그래, 너하고 나하고 둘이 둥실 사랑하자.`
신랑이 신부에게 말했수게.	신랑이 신부에게 말했답니다.
`이 조끄뜨레 오라게.`	`여기 가까이 오너라.`
`무사 조끄뜨레만 오랜 햄수과?`	`왜 가까이만 오라고 하십니까?`
`호꼼이라도 고치만 있고 싶언.`	`조금이라도 같이만 있고 싶어서.`
`놈덜 웃읍니다.`	`남들이 웃습니다.`
`어떵 호느냐? 소랑에는 부치룸이 엇나.`	`어떡하느냐? 사랑에는 부끄러움이 없단다.`
무사 경 고람쑤과?	왜 그렇게 말하십니까?
혼저 왕 소랑하멍 살게 마씀.	어서 와서 사랑하면서 살아 봅시다.
성 내멍 살아도 혼 세상 저들멍 살아도 혼 세상 이우다.	화를 내면서 살아도 한 세상 걱정하면서 살아도 한 세상 입니다.
가난해서 웃으멍 살게 마씀.	가난해도 웃으면서 살아 봅시다.
삼다도옌 행게마는 촘말 돌이 많쑤다.	삼다도라고 하더니만 정말 돌이 많습니다.
양?	예?
옛날엔 한락산이 화산이란 돌이 많쑤게.	옛날에는 한라산이 화산이었기 때문에 돌이 많답니다.
아이고 게, 저기 돌고망에 핀 꽃 봅서 돌고망으로 보는 바당은 꼭 그림 답쑤다.	아이고, 저기 돌구멍에 핀 꽃 보십시오. 돌구멍으로 보는 바다는 꼭 그림 같군요.
바다에 강 봐사.	바다에 가서 보아야.
풍랑을 알아 지곡 조식을 나 봐사.	풍랑을 알게 되고 자식을 낳아 보아야.
부모 모심 알아 지곡 사롬은 만낭 살아 봐사.	부모 마음 알게 되고 사람은 만나서 살아 보아야.
진심을 알아 지곡 소랑을 해 봐사, 눈물도 알아 짐니다.	진짜 마음을 알게 되고 사랑을 해 보아야, 눈물도 알게 된답니다.
사롬은 서로 서로 도우멍 사는 거여!	사람은 서로 서로 도우며 사는 것이야!
욕은 고냉이 밤눈 어둡덴 혼다.	약은 고양이가 밤눈이 어둡다고 한다.
이녁만 욕은 체 호멍 살당 보민.	자기만 약은 체 하면서 살다 보면.
지 욕심에 걸령 지가 넘어진다.	자기 욕심에 걸려서 자기가 넘어진단다.
서귀포 바당에 가민 알아 짐니다.	서귀포 바다에 가면 알수 있습니다.
무신것이 소랑이고.	무엇이 사랑이고.
무신 것이 그리움인지.	무엇이 그리움인지.
안개 낀 부둣가에 뱃고동 울어 주민	안개 낀 부둣가에 뱃고동 울어 주면.
옛님이 그리웡 눈물이 잘도 납니다.	옛님이 그리워서 눈물이 많이도 납니다.
조냥 하멍 살아사 혼다.	아끼면서 살아야 한다.
오늘보다 내일 생각호곡.	오늘보다 내일을 생각하고.
내일보다 모레 생각호곡.	내일보다 모레를 생각하고.
경 해사 일생을 펜안호게 살아진다.	그렇게 해사 일생을 편히 살수 있단다. 
요새 아이덜.	요사이 아이들.
너무 호강 햄쩌 경 호난	너무 편안히 산다 그러니까.
호꼼호민 아프곡.	조금하면 아프고.
울곡 햄시녜.	울고 하고 있다.
둥구리멍 질룬 독새시가 빙애기 된댕 혼다.	뒹글리면서 기른 달걀이 병아리가 된다고 한다.
어진 때 고생도 호곡 해사 큰 사롬 된다.	어릴 때 고생도 하고 해야 큰 사람 된다. 
혼저 왕 먹읍서.	어서 와서 먹으십시오.
맨도롱 했수과?	따뜻합니까?
똣똣혼 게 먹기 똑 좋았수다.	따끈따끈한 것이 먹기에 꼭 좋았습니다.
맨도롱 홀 때 호로록 들여 싸붑서.	따뜻할 때 후루룩 마셔 버리십시오.
동 텃저, 어서 글라.	날이 밝았다, 어서 가자.
일 해사 먹엉 산다.	일 해야 먹고 산다.
부지런 혼 건 하늘도 못 막낸 해라.	부지런한 것은 하늘도 못 막는다고 하더라.
혼저 촐령 가사, 일 홀 거 아니가.	뻘리 준비해서 가야, 일 할 것 아니냐. 
시집 가 보난 영 해라.	시집을 가 보니까 이렇드라.
돌탱이 고튼 시아방에.	돌덩이 같이 고집 센 시아버지에.
물폐기 고튼 시어멍에.	살모사 같이 독한 시어머니에.
물꾸럭 고튼 서방에.	문어 같이 물렁물렁한 남편에.
고냥독새 고튼 시누이에.	굴뚝새 같이 약아 빠진 시누이에.
가도 가도 고생이라라.	살아도 살아도 고생이더라.
어드레 감디?	어디로 가느냐?
바당에 어멍 안티 감쑤다.	바다에 어머니 한테 갑니다.
경 호건, 이거 가정 가라.	그러면, 이거 가지고 가라.
무싱 거꽈?	무엇입니까?
느네 어멍, 바당에서 물질 호멍 먹을거여.	너희 어머니, 바다에서 물질하면서 먹을거다.
이추룩 억울할 때가 있수과?	이렇게 억울할 때가 있습니까?
소정해도 시원호지 않을 놈이 큰 소리라 마씸.	사정을 해도 시원하지 않을 놈이 큰 소리 합니다.
초마 가라, 그거 도둑놈 심뽀구나.	아니 원, 그거 도둑놈 마음이구나.
게메 마씸, 그런 사롬이 어디 있수과?	그러게 말입니다, 그런 사람이 어디 있습니까?
시험에 떨어진 아들이 아방 안티 말했수다.	시험에 떨어진 아들이 아버지께 말했습니다.
`난, 아명 해도 안되쿠다.`	`난, 아무리 해도 안되겠습니다.`
`무사, 안된댄 생각 햄시냐?`	`왜, 안된다고 생각하느냐?`
`해도 해도 안되는디, 어떵홉니까?`	`해도 해도 안되는걸, 어떻게 합니까?`
`먹돌도 똘람 시민 고망이 난다. 햄시민 된다.`	`차돌도 뚫고 있으면 구멍이 난다. 하고 있으면 된다.`
똘년이 돌으멍 가단 푸더전 마씀.	딸이 뛰어 가다가 쓰러졌답니다.
으마떵 호리.	이런, 어떻게 하나.
경 호연 어떵 해서 ?	그래서 어떻게 했는가?
병원에 갔수게.	병원에 갔습니다.
간 보난, 꽝이 뿌서졌덴 마씀.	가서 보니까 뼈가 부러졌답니다.
혼, 열흘간 입원 해사 혼덴 햄쑤다.	한, 열흘간 입원 해야 한다고 합니다.
족댕 나무래지 말라.	작다고 놀리지 마라.
조근게 요망진다.	작은 것이 똑똑하고 영리하다.
큰 건 보롬만 불어도.	큰 것은 바람만 불어도.
홍글랑 홍글랑 호지만 호꼴락 혼 건.	흔들 흔들 거리지만 조그만 한 건.
똔똔호곡 펜주룽 혼다.	단단하고 태연하게 있는다.
어드레 감수과?	어느 곳으로 가십니까?
바당에 괴기 사레 마씀.	바다에 고기 사려고 말입니다.
무사, 누게 왔수과?	왜, 누가 왔습니까?
서울서 족은 아방네 완 마씀.	서울에서 작은 아버지네가 왔습니다.
게민, 멩심허영 갔당 옵서.	그럼, 조심해서 갔다 오십시오.
어멍이 해 준 밥 먹어 봅서.	어머니가 해 준 밥을 먹어 보십시오.
촘말로 맛이 좋수다.	정말로 맛이 좋습니다.
무상고 마씀?	무엇 때문인가요?
그건 어머님의 사랑호는 모심이 밥속에 고득 고득 들어 이시난 아니꽈.	그건 어머니의 사랑하는 마음이 밥속에 가득 가득히 들어 있기 때문 아닙니까.
소도리 행 댕기지 맙서.	소문 옮기면서 다니지 마십시오.
소도리는 놈덜 싸움만 맨듭니다.	소문은 남들 싸움만 만듭니다.
옛부터 싸움은 멀리곡.	예부터 싸움은 말리고.
흥정은 부치렌 했수다.	흥정은 붙이라고 했습니다.
게난, 좋은 소린 크게 호곡.	그러니, 좋은 소리는 크게 하고.
궂은 소린 속솜 해 붑서.	나쁜 소리는 조용히 해 버리십시오.
두 가시가 어드레 경 돌암서?	두 부부가 어디로 그렇게 달려 가는가?
큰 똘, 애기 낫댄 햄 감쑤다.	큰 딸이 아이를 낳았다고 해서 갑니다.
경 했구나.	그랬구나.
무슨 애기 나서?	무슨 애기를 낳았는가?
아덜 마씀!	아들 입니다!
아이고, 잘 됐구나게!	아이구, 잘 되었네!
혼저 강 봐 게.	어서 가 보게나.
강, 방 옵서.	가서 보고 오십시오.
왕, 방 삽서.	와서 보고 사십시오.
영 호곡, 정 호곡 홉서.	이렇게 하고, 저렇게 하고 하십시오.
경 고라 줍서.	그렇게 말해 주십시오.
가지 말앙, 영 호멍 삽서.	가지 말고서 이렇게 하면서 사십시오.
서방님, 제주도에서 살게 마씀.	여보, 제주도에서 삽시다.
좋주마.	좋지요.
널은 바당.	넓은 바다.
좋은 공기.	좋은 공기.
인심좋은 사롬들광 살민 살 맛 날거라.	인심좋은 사람들과 살면 살 맛 날거다.
살당 지치민.	살다가 지치면.
풍덩 바당에 들어 가곡 마씀.	풍덩 바다에 들어 가고 말입니다.
둘이 먹당, 호나 죽어도 몰르는 건 무신거꽈?	둘이 먹다가, 한 명이 죽어도 모르는 건 무엇입니까?
돌코롬 혼 제주도 전복죽이주!	달고 맛있는 제주도 전복죽이야!
둘이 보당, 호나 죽어도 몰르는 건 무신거꽈?	둘이 보다가, 한 사람이 죽어도 모르는 건 무엇입니까?
곱들락 혼 제주도 비바리주!	곱고 예쁘장한 제주도 처녀야!
게민 옵서.	그러면 오십시오.
전복죽 먹곡 비바리 보래 가게 마씀.	전복죽 먹고서 처녀 보러 갑시다.
과랑 과랑혼 벳디 일 호젠 호난 속았수다.	쨍쨍한 햇볕속에 일 하려고 하니 수고 했습니다.
속을 거 있수과?	수고 할 거 있습니까?
호꼼, 똠은 났수다만.	조금, 땀은 났습니다만.
안트레 들어 왕.	안으로 들어 오셔서.
조녁 먹엉 갑서.	저녁식사 하고 가십시오.
경 호카 마씀.	그렇게 할까요.
제주 바당에 가민 바당이 말을 홉니다.	제주 바다에 가면 바다가 말을 합니다.
사롬보다.	사람보다.
더 조잘조잘 말을 하곡.	더 재잘재잘 말을 하고.
사롬보다.	사람보다.
더 소랑도 하영 홉니다.	더 사랑도 많이 합니다.
경 호멍.	그렇게 하면서.
낮이나 밤이나 꽃을 피웠당.	낮이나 밤이나 꽃을 피웠다가.
지웠당 홉니다.	지웠다가 합니다.
제주 바당에 강 봅서.	제주 바다에 가서 보십시오.
미운 것도 엇어지곡.	미운 것도 없어지고.
슬픈것도 엇어지곡.	슬픈것도 없어지고.
가슴으로 바당물만 들곡 나곡 호멍.	가슴으로 바닷물만 들어오고 나가고 하면서.
두리 둥실.	둘이 둥실.
둥그대 당실.	둥그대 당실.
소랑만 고득하게.	사랑만 가득하게.
담앙 옵니다.	담아서 옵니다.
서울서 새각씨 왔수다.	서울에서 색씨가 왔습니다.
어떵 생겨서?	어떻게 생겼던가?
요망지게 생겨십디다.	똑똑하고 영리하게 생겼습니다.
솔째기 웃으멍 말 호는 거 보난.	살그머니 웃으면서 말 하는 걸 보니.
착햄직 홉디다.	착할 것 같습니다.
그 나쁜 놈!	그 나쁜 놈!
볼망텡이를.	뺨따귀를
박아 불거 아니꽈?	때려 버릴거 아닙니까?
경 했주!	그렇게 했어!
모가지 잡안 흥글단.	목을 잡아서 흔들다가
대맹이로 뱃대기를.	머리로 배를
박아 부난.	받아 버렸더니
둥글멍 자빠정게!	뒹글며 쓰러져 버리더군!
잘 콰니여!	잘 됐어!
그런 놈은.	그런 놈은
혼내 줘사 홉니다.	혼을 내 줘야 합니다.
쌍둥이 어멍!	쌍둥이 어머니!
고생햄쭈, 이?	고생하고 있네요, 그렇지요?
둘이가 고름배기 해연.	둘이가 서로 이기려고 하니.
죽어지쿠다.	죽겠습니다.
경 홀거라.	그렇게 할 거에요.
게도, 놈 호고 싸울 땐.	그래도, 남하고 싸울 때는.
지네 펜백들멍 싸워 마씀.	자기네 편을 들면서 싸웁니다.
요 년 난거 보라.	요 계집애 봐라.
놈이 소나이영 말 호곡.	남의 남자와 얘기 하고.
벌써부터.	벌써부터.
서방질 햄시냐?	남자를 밝히느냐?
아니우다 게.	아닙니다.
바당드레 가단.	바다에 가다가.
질 모른 사롬 이시난.	길 모르는 사람이 있어서.
질 고르쳐 줬수게.	길 가르켜 줬습니다.
아이구 게.	아이구.
큰일 났수다.	큰일 났습니다.
무사, 경 들락켬시니?	왜, 그렇게 들락키느냐?
와리지 말앙.	너무 서두르지 말고.
촌촌이 고라 보게.	천천히 말해 보아라.
경호난 양.	그러니까요.
영 호곡.	이렇게 하고.
정 호곡 했수게.	저렇게 하고 했습니다.
게난.	그러니까.
욕심 내멍 살민.	욕심 내면서 살면.
경 혼다.	그렇게 된다.
새각씨야.	색씨.
그거 앗아 도라.	그거 가져다 줘라.
무사.	왜.
당신은 손 엇수과?	당신은 손이 없어요?
발 엇수과?	발이 없어요?
경 호지 말앙.	그러지 말고.
좀 앗아 주민.	좀 가져다 주면.
어떵 호느냐.	안돼냐?
버릇나 마씀!	버릇 됩니다!
밸 놈의 요망진 소리.	별나고 약아 빠진 소리.
그만 호라.	그만 해라.
이제 가게, 짐 촐리라.	이제 가자, 짐 꾸려라.
알았수다.	알았습니다.
아이덜도 도랑 가카 마씀?	아이들도 데리고 갈까요?
기여, 모딱 고치 가게.	그래, 모두 같이 가자.
하르방, 할망이 좋아할거여.	할아버지, 할머니가 좋아하실거야.
야게기에 때 밀라.	목아지에 때를 밀라.
저깽이영, 정겡이도 밀곡.	겨드랑이랑, 종아리도 밀고.
옷 벗엉, 강알 트멍도 밀라.	옷 벗어서, 사타구니 사이도 밀어라.
사롬 몸은 곱닥해사 혼다.	사람 몸은 깨끗해야 한다.
무신 걸 먹으코?	무엇을 먹을까?
게메 양, 제주도에만 이신 거 먹게 마씀.	글쎄요, 제주도에만 있는 것을 먹읍시다.
그젱기에, 보말에, 옥돔생성, 또 있수다.	소라에, 보말에, 옥돔생선, 또 있어요.
모멀 범벅에 자리젯!	메밀 범벅에 자리젓갈!
먹을 것도 촘 하영 있저.	먹을 것도 참 많이 있네.
무사, 난 호꼼만 줨쑤과?	왜, 나는 조그만 줍니까?
이놈아!	이놈아!
욕심 먹은 눈에는.	욕심을 가진 눈에는.
지 껏이 족아 베곡.	자기 것은 작게 보이고.
놈의 껏은 커 베는 거여!	남의 것은 크게 보이는 것이야!
똑고치 나눈 것을 어찌 크다 족다 햄시니?	똑같이 나눈 것을 어찌 크다 작다 하느냐?
어멍이 용심 난.	어머니가 화가 나서.
옴찍 안햄쑤다.	꼼짝 안합니다.
경 호곡 말곡!	그렇고 말고!
믿던 낭에 곰팽이 핀댕 게마는.	믿던 나무에 곰팡이가 핀다고 하더니만.
하도 억울호게 당해부런 아니가.	하도 억울하게 당해서 아니냐.
어멍 모심 달래 드리라!	어머니 마음 위로해 드려라!
독이사 울엉 날이 새주마는.	닭이야 울면 날이 밝아 오지만.
내사 울엉 어느 날 새리.	내가 울면 어느 날 밝을 수 있으랴.
독의 목에 통쇠나 종강.	닭의 목에 자물쇠나 잠궈서.
내가 대신 울어나 보카.	내가 대신 울어나 볼까.
요 바당에.	여기 바다에.
요 물에 들언 좀복.	여기 물에 들어가서 전복.
구젱기.	소라.
고득하게 잡아당.	가득하게 잡아다가.
혼 푼.	한 푼.
두 푼.	두 푼.
모이단 보난.	모이다 보니까.
서방님 술깝에.	남편의 술값에.
몬딱 들어 감쩌.	모조리 들어 가더라.
두렁청 호게.	정신없이 급하게.
다울리멍.	재촉해서.
일호지 말라.	일하지 마라.
바농 존둥이.	바늘 허리를.
졸라 메영.	졸라 매어서.
바농질 되는 거.	바느질 되는 거.
봔디야?	봤느냐?
촌촌히 생각호멍.	천천히 생각하면서.
호나씩 해사.	하나씩 해야.
일이 된다.	일이 된다.
살당 보민 고생홀 때도 있곡.	살다 보면 고생할 때도 있고.
어려웡 쓸어질 때도 있저.	어려워서 쓰러질 때도 있단다.
경해도, 허천 베레지 말라.	그래도, 한눈 팔아서 가지 말아라.
곳작 호게 걸어 감시민.	곧게 걸어 가노라면.
나종엔 꼭 성공혼다.	나중엔 꼭 성공한다.
